ts,tps,cum_tps,r_iops,w_iops,hit_ratio,hit_ratio_gc,edt_gap,rmb_s,wmb_s,ewmb_s,cpwmb_s,dwbw_mb,gcwmb_s,gcrmb_s,valid_ratio,comp_ratio,logmb_s,wal_sz,db_sz,alloc_sz,mem_mb,cum_flash_wmb,db_waf,ssd_run_waf,ssd_cum_waf,version
105,126963,10368987,63629,127082,0.914,0.000,0,248.551,496.414,242.762,0.000,253.652,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110435.336,106518.891,2.000,1.971,1.999,0
106,131568,10500555,65496,125286,0.914,0.000,0,255.844,489.398,248.527,0.000,240.871,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110436.836,107514.812,2.000,2.035,1.999,0
107,122727,10623282,61420,127562,0.914,0.000,0,239.922,498.289,248.582,0.000,249.707,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110436.836,108515.016,2.000,2.007,1.999,0
108,131236,10754518,65476,127882,0.914,0.000,0,255.766,499.539,245.926,0.000,253.613,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110436.836,109527.336,2.000,2.027,1.999,0
109,131679,10886197,65496,131123,0.915,0.000,0,255.844,512.199,259.039,0.000,253.160,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110436.836,110553.562,2.000,2.004,1.999,0
110,132158,11018355,65487,128262,0.915,0.000,0,255.809,501.023,248.090,0.000,252.934,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110436.836,111543.484,2.000,1.976,1.999,0
111,131784,11150139,65513,131007,0.915,0.000,0,255.910,511.746,257.723,0.000,254.023,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110436.836,112535.312,2.000,1.938,1.999,0
112,131763,11281902,64801,123516,0.915,0.000,0,253.129,482.484,244.898,0.000,237.586,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110436.836,113522.594,2.000,2.046,1.999,0
113,125782,11407684,62127,127369,0.915,0.000,0,242.684,497.535,243.695,0.000,253.840,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110436.836,114513.719,2.000,1.992,1.999,0
114,132969,11540653,65499,126276,0.915,0.000,0,255.855,493.266,247.566,0.000,245.699,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110436.836,115511.789,2.000,2.023,1.999,0
